INSTID,UKPRN,Region of HE provider,HE provider,Full-time postgraduate - UK domicile - Higher degree (research),Full-time postgraduate - UK domicile - Higher degree (taught),Full-time postgraduate - UK domicile - Other postgraduate,Full-time postgraduate - UK domicile - Total UK domicile,Full-time postgraduate - Other EU domicile - Higher degree (research),Full-time postgraduate - Other EU domicile - Higher degree (taught),Full-time postgraduate - Other EU domicile - Other postgraduate,Full-time postgraduate - Other EU domicile - Total other EU domicile,Full-time postgraduate - Non-EU domicile - Higher degree (research),Full-time postgraduate - Non-EU domicile - Higher degree (taught),Full-time postgraduate - Non-EU domicile - Other postgraduate,Full-time postgraduate - Non-EU domicile - Total non-EU domicile,Full-time postgraduate - Not known domicile - Higher degree (research),Full-time postgraduate - Not known domicile - Higher degree (taught),Full-time postgraduate - Not known domicile - Other postgraduate,Full-time postgraduate - Not known domicile - Total non-EU domicile,Full-time postgraduate - All domiciles - Higher degree (research),Full-time postgraduate - All domiciles - Higher degree (taught),Full-time postgraduate - All domiciles - Other postgraduate,Full-time postgraduate - All domiciles - Total full-time postgraduate,Part-time postgraduate - UK domicile - Higher degree (research),Part-time postgraduate - UK domicile - Higher degree (taught),Part-time postgraduate - UK domicile - Other postgraduate,Part-time postgraduate - UK domicile - Total UK domicile,Part-time postgraduate - Other EU domicile - Higher degree (research),Part-time postgraduate - Other EU domicile - Higher degree (taught),Part-time postgraduate - Other EU domicile - Other postgraduate,Part-time postgraduate - Other EU domicile - Total other EU domicile,Part-time postgraduate - Non-EU domicile - Higher degree (research),Part-time postgraduate - Non-EU domicile - Higher degree (taught),Part-time postgraduate - Non-EU domicile - Other postgraduate,Part-time postgraduate - Non-EU domicile - Total non-EU domicile,Part-time postgraduate - Not known domicile - Higher degree (research),Part-time postgraduate - Not known domicile - Higher degree (taught),Part-time postgraduate - Not known domicile - Other postgraduate,Part-time postgraduate - Not known domicile - Total non-EU domicile,Part-time postgraduate - All domiciles - Higher degree (research),Part-time postgraduate - All domiciles - Higher degree (taught),Part-time postgraduate - All domiciles - Other postgraduate,Part-time postgraduate - All domiciles - Total Part-time postgraduate,Full-time undergraduate - UK domicile - First degree,Full-time undergraduate - UK domicile - Other undergraduate,Full-time undergraduate - UK domicile - Total UK domicile,Full-time undergraduate - Other EU domicile - First degree,Full-time undergraduate - Other EU domicile - Other undergraduate,Full-time undergraduate - Other EU domicile - Total other EU domicile,Full-time undergraduate - Non-EU domicile - First degree,Full-time undergraduate - Non-EU domicile - Other undergraduate,Full-time undergraduate - Non-EU domicile - Total non-EU domicile,Full-time undergraduate - Not known domicile - First degree,Full-time undergraduate - Not known domicile - Other undergraduate,Full-time undergraduate - Not known domicile - Total non-EU domicile,Full-time undergraduate - All domiciles - First degree,Full-time undergraduate - All domiciles - Other undergraduate,Full-time undergraduate - All domiciles - Total full-time undergraduate,Part-time undergraduate - UK domicile - First degree,Part-time undergraduate - UK domicile - Other undergraduate,Part-time undergraduate - UK domicile - Total UK domicile,Part-time undergraduate - Other EU domicile - First degree,Part-time undergraduate - Other EU domicile - Other undergraduate,Part-time undergraduate - Other EU domicile - Total other EU domicile,Part-time undergraduate - Non-EU domicile - First degree,Part-time undergraduate - Non-EU domicile - Other undergraduate,Part-time undergraduate - Non-EU domicile - Total non-EU domicile,Part-time undergraduate - Not known domicile - First degree,Part-time undergraduate - Not known domicile - Other undergraduate,Part-time undergraduate - Not known domicile - Total non-EU domicile,Part-time undergraduate - All domiciles - First degree,Part-time undergraduate - All domiciles - Other undergraduate,Part-time undergraduate - All domiciles - Total Part-time undergraduate,Female,Male,Other,20 and under,21-24,25-29,30 and over,Age unknown,Known to have a disability,No known disability,White,Black,Asian,Other ethnicity (including mixed),Ethnicity not known,Total UK domiciled students,Total students
0047,10000291,EAST,Anglia Ruskin University,110,470,70,650,20,140,0,165,180,780,0,960,0,0,0,0,315,1390,70,1775,300,740,685,1725,35,25,0,60,35,65,5,105,0,0,0,0,365,830,695,1890,12035,765,12795,635,5,640,985,0,985,0,0,0,13650,770,14425,1000,1785,2785,20,15,35,15,15,25,0,0,0,1030,1815,2845,12760,8170,0,6565,5150,2860,6345,10,2365,18570,12270,2700,1675,945,365,17955,20935
0108,10007759,WMID,Aston University,85,310,40,435,10,160,15,185,75,585,25,685,0,0,0,0,175,1055,80,1305,60,515,430,1010,0,35,20,55,5,30,35,70,0,0,0,0,65,580,490,1135,7810,165,7975,380,5,390,750,55,805,0,0,0,8940,225,9165,660,55,715,30,10,45,65,65,130,0,0,0,760,130,885,5990,6500,0,6610,3835,975,1065,5,880,11615,3720,1135,4565,560,150,10130,12495
0048,10000571,SWES,Bath Spa University,15,150,490,655,0,25,5,30,15,255,0,275,0,0,0,0,30,430,495,955,70,390,390,855,5,5,5,15,0,10,5,15,0,0,0,0,75,410,400,885,4895,345,5245,150,5,155,275,30,305,0,0,0,5320,380,5705,80,5,80,0,0,0,0,0,0,0,0,0,80,5,80,5185,2445,0,4065,1835,555,1180,0,1460,6170,6250,110,125,270,80,6835,7630
0109,10007850,SWES,The University of Bath,410,250,45,710,120,125,5,250,250,1050,5,1305,0,0,0,0,780,1430,60,2265,225,605,460,1290,60,75,10,150,145,190,25,360,0,0,0,0,425,875,500,1800,9205,140,9345,1135,5,1135,1495,0,1495,0,0,0,11830,145,11975,20,85,105,0,10,10,0,0,0,0,0,0,20,95,115,7510,8645,0,8600,4780,1075,1700,0,1130,15025,9770,240,815,550,80,11455,16155
0026,10007152,EAST,University of Bedfordshire,35,365,455,855,5,80,0,85,110,575,5,690,0,0,0,0,150,1015,460,1630,100,625,590,1320,10,45,10,65,15,415,10,440,0,0,0,0,130,1085,610,1825,7245,210,7460,585,5,585,535,5,540,0,0,0,8365,220,8585,1330,835,2165,45,15,60,120,15,135,0,0,0,1495,870,2360,8915,5485,0,4310,4285,1930,3875,0,1205,13195,6020,3105,1745,725,200,11800,14400
0127,10007760,LOND,Birkbeck College,165,325,0,495,40,105,0,140,85,215,5,310,0,0,0,0,290,645,5,940,290,2380,190,2860,30,110,15,155,10,65,15,85,0,0,0,0,335,2550,220,3105,2460,95,2560,140,0,140,160,10,170,0,0,0,2760,110,2870,2520,2545,5065,105,75,180,15,70,90,0,0,0,2640,2695,5335,6555,5680,10,940,2085,2795,6430,0,1690,10560,6340,2090,1245,1150,155,10975,12245
0052,10007140,WMID,Birmingham City University,95,290,530,915,10,40,5,55,80,900,15,995,0,0,0,0,185,1235,550,1970,195,885,1210,2290,5,20,10,35,5,10,40,55,0,0,0,0,205,915,1260,2380,14780,735,15515,525,15,540,955,140,1090,0,0,0,16260,885,17145,695,1830,2525,5,10,20,15,15,30,0,0,0,715,1855,2575,15240,8820,0,10055,6380,2740,4890,0,2275,21790,12260,2630,4885,1205,260,21240,24065
0110,10006840,WMID,The University of Birmingham,1035,1070,645,2750,255,215,15,485,805,2745,10,3555,0,0,0,0,2090,4030,675,6795,515,2920,1370,4810,60,150,35,245,95,250,40,385,0,95,5,100,670,3415,1455,5540,17550,5,17555,600,35,630,2215,0,2215,0,0,0,20360,40,20400,5,990,995,0,80,80,0,20,20,0,0,0,5,1090,1095,18900,14930,0,15590,9095,3090,6055,5,3140,30690,19425,1170,3780,1240,490,26110,33830
0200,10000712,WMID,University College Birmingham,0,25,65,90,0,30,5,30,0,140,50,190,0,0,0,0,0,195,120,315,0,25,30,55,0,5,70,75,0,10,0,10,0,0,0,0,0,40,100,140,1950,1085,3035,425,95,515,315,45,360,0,0,0,2690,1220,3910,240,370,605,10,5,15,15,30,40,0,0,0,260,400,660,3535,1490,0,2195,1760,490,580,0,410,4615,1805,755,845,380,5,3790,5025
0007,10007811,EMID,Bishop Grosseteste University,5,5,265,275,0,0,0,0,0,0,0,0,0,0,0,0,5,5,265,275,15,65,30,110,0,0,0,0,0,0,0,0,0,0,0,0,15,65,30,110,1610,220,1830,0,0,0,0,0,0,0,0,0,1615,220,1835,0,15,15,0,0,0,0,5,5,0,0,0,0,20,20,1800,435,0,1105,520,200,410,0,515,1720,2150,15,25,40,5,2230,2235
0049,10006841,NWES,The University of Bolton,35,30,175,240,5,15,0,20,75,70,5,150,0,0,0,0,115,115,180,410,55,200,460,715,0,0,0,0,0,0,5,10,0,0,0,0,55,200,465,725,2990,725,3715,110,10,120,130,10,140,0,0,0,3230,745,3975,475,670,1145,5,5,10,5,55,55,0,0,0,485,725,1210,3520,2800,5,1750,1510,845,2215,0,925,5400,3895,730,810,315,65,5815,6320
0197,10000385,SWES,The Arts University Bournemouth,5,20,10,35,0,10,0,10,0,20,5,20,0,0,0,0,5,45,15,65,5,15,0,15,0,5,0,5,0,5,0,5,0,0,0,0,5,20,0,25,2700,0,2700,180,0,180,250,0,250,0,0,0,3130,0,3130,20,0,20,0,0,0,0,0,0,0,0,0,20,0,20,2285,950,5,2140,925,105,70,0,535,2705,2455,80,90,135,5,2765,3240
0050,10000824,SWES,Bournemouth University,150,305,80,535,35,190,0,230,140,920,5,1065,0,0,0,0,330,1415,85,1825,190,260,1375,1825,15,30,20,65,20,60,20,100,0,0,0,0,225,355,1415,1995,11240,295,11535,590,5,595,440,20,460,0,0,0,12270,315,12590,570,1925,2495,35,10,45,75,20,95,0,0,0,680,1955,2635,10955,8090,0,8005,4810,1900,4325,5,2420,16625,13835,890,730,670,265,16390,19045
0111,10007785,YORH,The University of Bradford,75,185,10,270,10,60,0,70,160,275,0,435,0,0,0,0,240,520,10,775,90,670,1235,1995,5,5,10,20,0,5,20,30,0,0,0,0,95,685,1265,2045,6605,20,6625,435,0,440,595,0,595,0,0,0,7635,20,7660,505,185,690,15,0,15,30,0,30,0,0,0,550,185,740,6210,5000,0,4280,3075,1205,2650,0,1330,9880,3840,815,4415,440,75,9575,11215
0051,10000886,SEAS,The University of Brighton,120,440,385,945,35,160,25,215,115,385,20,520,0,0,0,0,270,985,430,1680,175,990,960,2120,20,55,25,105,5,25,30,60,0,0,0,0,200,1070,1010,2280,12320,285,12605,760,5,770,1005,20,1020,0,0,0,14090,310,14395,1080,1485,2565,30,55,85,70,55,125,0,0,0,1180,1595,2775,12615,8515,0,8630,5340,2335,4820,5,3050,18085,14300,1115,1375,1210,230,18235,21135
0112,10007786,SWES,The University of Bristol,1080,620,205,1905,200,145,10,355,440,1215,15,1670,0,0,0,0,1720,1980,230,3925,230,585,275,1090,25,40,0,65,50,40,5,95,0,0,0,0,300,665,285,1250,13880,15,13900,680,0,680,1780,0,1785,0,0,0,16345,20,16360,255,40,290,10,0,10,65,0,65,0,0,0,330,40,365,11685,10205,15,11865,6660,1690,1690,0,2045,19860,14675,270,1045,970,225,17185,21905
0113,10000961,LOND,Brunel University London,120,735,210,1065,35,230,5,270,340,1680,0,2025,0,0,0,0,500,2645,215,3360,140,455,70,665,20,80,5,105,15,165,0,180,0,0,0,0,175,705,75,950,7640,5,7645,435,0,435,1495,0,1500,0,0,0,9575,5,9580,215,5,220,5,0,5,45,0,45,0,0,0,270,5,275,6490,7675,0,6605,4430,1580,1550,0,1365,12795,3875,1575,2965,1095,90,9600,14165
0009,10000975,SEAS,Buckinghamshire New University,5,60,185,245,0,0,10,15,5,65,0,70,0,0,0,0,5,130,195,330,25,250,340,620,0,10,5,20,0,10,0,10,0,0,0,0,30,270,350,650,5060,300,5365,500,0,500,60,0,60,0,0,0,5625,300,5925,305,1290,1590,20,15,35,5,40,45,0,0,0,330,1345,1675,5090,3490,0,3180,1850,925,2620,0,970,7610,4640,1470,1165,435,105,7820,8580
0203,10007787,SEAS,The University of Buckingham,105,165,515,785,5,15,25,45,40,220,15,275,0,0,0,0,150,400,555,1105,45,30,0,75,0,5,0,5,5,0,0,5,0,0,0,0,50,35,0,85,560,0,560,60,0,60,525,0,525,0,0,0,1145,0,1145,65,0,65,0,0,0,0,0,0,0,0,0,65,0,65,1105,1290,0,515,730,460,690,0,290,2110,905,150,150,70,205,1480,2400
0114,10007788,EAST,The University of Cambridge,1825,240,335,2400,1035,315,15,1365,1855,755,10,2615,0,0,0,0,4715,1310,355,6380,670,90,255,1015,20,0,5,25,10,5,5,20,0,0,0,0,705,95,260,1060,9395,10,9405,1025,5,1030,1460,10,1470,0,0,0,11880,25,11905,0,315,315,0,0,0,0,0,0,0,0,0,0,315,315,9025,10630,10,8805,6220,2655,1975,0,1655,18005,10420,185,1365,810,355,13135,19660
0188,10003324,LOND,The Institute of Cancer Research,95,0,0,95,10,0,0,10,5,0,0,5,0,0,0,0,115,0,0,115,30,130,0,160,0,0,0,0,0,0,0,0,0,0,0,0,30,130,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,110,0,0,30,75,170,0,10,270,150,5,70,15,15,260,275
0012,10001143,SEAS,Canterbury Christ Church University,200,135,610,945,10,5,10,25,20,35,0,55,0,0,0,0,230,175,620,1025,255,500,1120,1875,5,5,15,25,5,5,5,15,0,0,0,0,270,510,1135,1915,9145,690,9835,455,0,460,65,5,70,0,0,0,9665,695,10360,1000,1595,2595,5,35,40,0,125,125,0,0,0,1000,1755,2755,10995,5060,0,5950,3280,1805,5020,0,2215,13840,11935,1725,695,600,290,15245,16055
0053,10007141,NWES,The University of Central Lancashire,145,475,60,680,25,35,0,55,110,325,10,445,0,0,0,0,280,835,70,1180,370,1120,1435,2925,20,30,10,60,25,70,20,115,0,0,0,0,415,1220,1465,3095,14205,760,14965,325,10,335,1075,10,1085,0,0,0,15610,780,16390,1500,1975,3475,35,50,80,70,160,235,0,0,0,1605,2185,3790,13830,10630,0,9275,6140,2815,6230,0,2370,22090,16980,895,2560,745,865,22045,24460
0011,10007848,NWES,University of Chester,50,270,435,755,5,15,10,30,30,235,0,270,0,0,0,0,90,520,445,1050,310,1340,1280,2930,10,40,30,80,5,10,10,25,0,0,0,0,320,1395,1320,3035,8265,365,8630,95,0,95,330,0,330,0,0,0,8685,365,9050,590,1155,1750,0,0,5,25,0,25,0,0,0,620,1160,1775,10100,4820,0,6110,2895,1530,4375,0,1520,13395,12765,330,410,365,195,14060,14915
0082,10007137,SEAS,The University of Chichester,20,105,205,330,0,5,10,20,5,5,0,10,0,0,0,0,30,115,220,360,60,220,200,480,0,0,0,5,0,0,0,0,0,0,0,0,60,220,200,485,3945,200,4145,40,0,40,80,0,80,0,0,0,4070,200,4270,215,185,400,5,0,5,0,0,0,0,0,0,220,185,405,3435,2085,0,3005,1285,330,900,0,775,4745,4870,130,90,170,95,5355,5520
0115,10001478,LOND,"City, University of London",210,1955,750,2915,75,885,45,1000,135,2480,200,2815,0,0,0,0,420,5325,995,6735,95,1355,480,1930,25,175,35,235,10,220,40,270,0,0,0,0,125,1750,555,2435,5500,225,5720,955,10,965,2135,40,2170,0,0,0,8590,270,8860,160,765,925,10,15,25,5,15,20,0,0,0,175,795,970,10610,8385,0,5905,6420,3065,3605,0,1025,17975,4780,1465,4110,960,175,11490,18995
0199,10001653,LOND,Conservatoire for Dance and Drama,0,25,50,75,0,10,20,30,0,85,5,90,0,0,0,0,0,125,75,195,0,15,0,15,0,10,0,10,0,5,0,5,0,0,0,0,0,30,0,30,470,320,790,95,45,135,85,70,155,0,0,0,650,435,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,520,0,680,440,135,50,0,295,1015,750,45,10,75,5,880,1310
0201,10007761,LOND,Courtauld Institute of Art,35,110,25,170,15,30,5,50,10,75,10,95,0,0,0,0,55,215,45,315,5,0,0,5,5,0,0,5,5,0,0,5,0,0,0,0,10,0,0,15,145,0,145,25,0,25,10,0,10,0,0,0,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,105,0,135,210,85,80,0,65,440,265,0,10,20,20,320,505
0056,10001726,WMID,Coventry University,150,500,5,655,40,185,0,225,110,2790,0,2900,0,0,0,0,300,3475,5,3785,110,685,965,1765,15,60,20,95,10,285,30,320,0,0,0,0,135,1030,1015,2180,14055,945,15000,1685,40,1725,4125,20,4145,0,0,0,19865,1000,20870,1195,1100,2295,70,5,70,230,5,235,0,0,0,1490,1105,2600,13890,15530,10,13675,8835,2745,4175,0,2120,27310,10690,3635,3840,1380,165,19710,29430
0002,10007822,EAST,Cranfield University,160,255,20,435,120,690,5,815,285,645,35,960,0,0,0,0,565,1590,60,2210,175,1115,155,1445,55,85,5,140,80,100,10,185,0,0,0,0,305,1300,165,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,3055,0,10,1070,850,2050,0,210,3770,1575,105,120,55,30,1880,3980
0206,10006427,SEAS,University for the Creative Arts,10,25,0,35,0,15,0,15,10,95,0,100,0,0,0,0,20,135,0,150,25,90,25,140,5,0,0,5,0,10,0,10,0,0,0,0,30,95,25,155,3900,20,3920,310,5,315,230,20,250,0,0,0,4440,45,4485,15,0,15,0,0,0,0,0,0,0,0,0,15,0,15,3400,1405,0,2790,1495,215,300,0,995,3815,3000,460,310,295,40,4110,4805
0038,10007842,NWES,University of Cumbria,15,80,625,725,5,20,15,40,5,40,0,45,0,0,0,0,25,140,640,805,65,360,540,965,0,5,5,10,0,5,5,10,0,0,0,0,65,370,550,990,4570,385,4955,65,5,70,30,15,45,0,0,0,4660,405,5070,410,1505,1915,5,5,10,0,0,5,0,0,0,415,1510,1925,6020,2770,0,2870,2035,1190,2695,0,1050,7740,7605,200,425,175,155,8555,8790
0068,10001883,EMID,De Montfort University,55,375,160,595,15,90,10,115,80,850,90,1025,0,0,0,0,155,1315,265,1735,85,825,900,1810,20,45,25,90,15,95,25,130,0,0,0,0,120,960,950,2030,13545,640,14185,390,35,425,965,40,1005,0,0,0,14905,715,15615,525,970,1495,5,15,15,5,5,10,0,0,0,535,990,1525,11905,8995,0,9815,5485,1935,3670,0,3340,17565,9680,2845,4485,915,160,18085,20905
0057,10007851,EMID,University of Derby,70,280,335,680,5,25,0,35,30,175,0,205,0,0,0,0,105,480,335,920,130,1305,465,1900,10,35,10,55,5,40,5,50,0,0,0,0,145,1380,480,2005,9225,320,9545,420,5,420,275,15,290,0,0,0,9920,335,10255,1345,1605,2950,90,15,100,50,20,65,0,0,0,1480,1640,3120,9230,7070,0,6395,3810,1770,4320,0,1955,14345,12185,1100,1115,560,120,15075,16300
0116,10007143,NEAS,University of Durham,570,425,215,1210,150,155,5,310,445,1350,15,1810,0,0,0,0,1165,1930,235,3330,235,330,365,935,35,55,5,95,75,90,25,190,0,0,0,0,345,475,395,1215,10650,20,10670,610,0,610,1770,5,1770,0,0,0,13030,20,13050,170,35,210,0,0,0,0,0,0,0,0,0,175,35,210,9600,8210,0,10475,4605,1245,1480,0,1880,15930,11425,200,675,565,155,13020,17810
0117,10007789,EAST,The University of East Anglia,450,540,300,1290,130,70,5,205,200,1250,0,1450,0,0,0,0,780,1860,305,2945,120,680,650,1445,15,25,10,55,5,40,10,55,0,0,0,0,140,745,670,1555,8505,345,8850,520,0,520,1460,265,1725,0,0,0,10485,610,11095,315,215,535,10,0,10,10,0,10,0,0,0,335,220,555,9835,6305,5,7315,4765,1580,2485,0,2120,14025,10240,530,735,530,90,12120,16145
0058,10007144,LOND,The University of East London,155,565,420,1140,10,35,30,75,70,195,25,290,0,0,0,0,235,795,475,1505,210,1045,365,1620,20,55,5,80,25,85,5,115,5,0,0,5,260,1190,375,1820,8400,145,8550,275,0,275,275,0,280,0,0,0,8955,150,9105,975,50,1025,20,5,25,45,100,145,0,0,0,1045,155,1195,8655,4975,0,3640,3790,1895,4300,5,1675,11955,4435,4080,2345,1350,130,12335,13630
0016,10007823,NWES,Edge Hill University,70,185,935,1185,0,0,20,25,10,10,0,25,0,0,0,0,80,195,960,1235,45,930,1290,2265,5,15,0,20,0,10,15,25,0,0,0,0,50,955,1305,2310,9480,300,9785,60,0,60,60,0,60,0,0,0,9605,305,9910,655,1390,2045,0,20,20,15,5,20,0,0,0,670,1415,2085,10615,4925,0,6620,2880,1745,4295,0,1640,13900,13720,315,700,300,245,15280,15540
0118,10007791,EAST,The University of Essex,210,495,20,730,80,200,0,285,285,715,20,1020,0,0,0,0,580,1415,40,2030,135,400,325,860,25,30,5,55,10,30,20,60,0,0,0,0,170,455,350,975,6535,440,6975,1340,15,1355,1590,50,1645,0,0,0,9470,505,9975,425,350,775,5,5,10,15,15,30,0,0,0,445,370,815,7915,5880,0,6900,3510,1050,2340,0,1285,12510,6085,1560,780,640,270,9335,13795
0119,10007792,SWES,The University of Exeter,595,430,510,1530,130,95,10,235,335,1140,0,1475,0,0,0,0,1055,1665,520,3245,295,285,330,910,40,20,10,75,35,20,20,70,0,0,0,0,370,325,360,1050,13685,5,13690,1010,5,1015,2070,500,2570,0,0,0,16765,510,17270,85,5,90,10,0,10,5,0,5,0,0,0,95,5,105,11795,9865,10,13495,5345,1205,1620,0,2460,19210,14680,250,540,615,140,16220,21670
0017,10008640,SWES,Falmouth University,5,75,0,80,0,5,0,5,0,20,0,20,0,0,0,0,5,100,0,110,25,85,15,125,5,0,0,5,0,0,0,0,0,0,0,0,30,90,15,135,4035,10,4040,110,0,110,245,0,245,0,0,0,4385,10,4395,20,0,20,0,0,0,0,0,0,0,0,0,20,0,20,2820,1830,5,3070,1160,145,275,0,1255,3395,3960,60,45,175,25,4265,4655
0229,10004511,SEAS,The National Film and Television School,0,165,0,165,0,45,0,45,0,25,0,25,0,0,0,0,0,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,140,0,0,80,100,55,0,20,215,135,5,10,10,0,165,240
0054,10007145,SWES,University of Gloucestershire,50,135,195,375,0,5,5,10,55,40,0,95,0,0,0,0,105,180,200,480,135,330,365,835,5,5,0,10,5,5,5,15,0,0,0,0,145,340,370,860,5525,360,5885,45,5,50,160,45,205,0,0,0,5735,405,6135,250,85,335,5,0,5,15,0,15,0,0,0,270,90,360,4585,3250,0,4070,1945,540,1275,5,1475,6360,6670,240,225,260,35,7430,7835
0131,10002718,LOND,Goldsmiths College,110,520,335,965,30,215,15,260,100,550,0,650,0,0,0,0,240,1280,350,1870,150,595,120,870,40,70,0,105,10,15,0,25,0,0,0,0,200,680,120,1000,4395,10,4405,410,5,415,640,75,715,0,0,0,5445,90,5530,90,20,110,5,0,5,5,0,5,0,0,0,105,20,125,5715,2810,0,3230,2560,1320,1415,0,1405,7120,4075,705,740,730,95,6345,8525
0059,10007146,LOND,The University of Greenwich,125,220,305,650,35,65,15,110,140,640,15,795,0,0,0,0,300,920,335,1555,140,900,960,2000,5,105,15,125,15,840,60,915,0,0,0,0,165,1845,1035,3045,10640,505,11145,990,25,1015,1045,55,1100,0,0,0,12675,585,13260,1075,1585,2660,50,10,60,50,20,70,0,0,0,1175,1610,2790,11825,8820,0,7165,5780,2730,4975,0,1670,18980,8880,3045,3080,1275,170,16455,20645
0208,10007825,LOND,Guildhall School of Music and Drama,10,120,10,140,5,65,5,75,5,60,5,75,0,0,0,0,20,245,25,285,5,40,0,50,0,10,0,15,0,5,0,5,0,0,0,0,10,55,0,65,440,0,440,85,0,85,50,0,50,0,0,0,575,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,470,0,365,375,145,45,0,130,800,545,10,30,40,5,630,930
0018,10040812,WMID,Harper Adams University,30,30,10,65,0,5,0,5,15,25,0,40,0,0,0,0,45,60,10,115,15,70,355,435,0,5,30,35,0,0,5,10,0,0,0,0,15,75,390,480,1780,455,2230,20,10,30,85,0,85,0,0,0,1880,465,2345,55,2565,2620,0,15,15,5,0,5,0,0,0,55,2580,2635,2745,2835,0,1715,1465,760,1625,5,665,4910,5090,15,20,35,190,5350,5575
0060,10007147,EAST,University of Hertfordshire,130,390,255,775,20,50,0,70,75,620,0,700,0,0,0,0,225,1060,260,1545,265,1400,1985,3645,10,90,70,175,10,220,40,270,0,10,0,10,285,1715,2095,4100,13340,570,13910,495,10,505,1475,35,1510,0,0,0,15310,615,15925,1075,1455,2530,40,45,85,105,360,465,0,0,0,1220,1865,3085,14125,10530,0,10465,6130,2430,5625,0,2260,22395,11355,3420,3975,1715,405,20860,24655
